alpha,delta,objective,initial_position_LV,initial_velocity,s0,V_0,car,acc_co,dec_co,com_time
17,0.4793561927957349,6.5436720719341865,4916.507413816869,113,10.0,30,20,331,0.03,0.0334,0 days 00:35:32.783785000
18,1.0,4.0365714273048106,3896.4618799761406,113,12.0,30,20,330,1.0,1.1133333333333333,0 days 00:59:41.547074000
19,0.7973365530364915,5.868582623522375,3166.3986488741107,113,12.0,30,20,330,1.0,1.1133333333333333,0 days 00:16:01.187940000
20,1.0,2.2226417855344294,10133.26045712702,113,11.0,30,20,324,0.04,0.04453333333333333,0 days 01:56:44.188046000
21,0.5590591239202329,6.597574115916401,4264.611557175088,113,11.0,30,20,324,0.04,0.04453333333333333,0 days 00:31:54.774854000
22,1.0,6.387466805491214,11975.762642607218,113,8.0,30,20,318,0.38,0.42306666666666665,0 days 00:48:23.517503000
23,0.5510709174421324,6.4573753160104,3707.485829166917,113,8.0,30,20,318,0.38,0.42306666666666665,0 days 00:12:53.617913000
24,1.0,3.0798882960887903,5157.31802609822,113,11.0,30,20,287,1.47,1.6365999999999998,0 days 00:57:36.058392000
25,0.7239911324537144,3.670851615084543,3387.7315986451754,113,11.0,30,20,287,1.47,1.6365999999999998,0 days 00:16:20.435078000
26,1.0,5.377371957047508,7167.26905806269,113,10.0,30,20,293,0.66,0.7348,0 days 00:57:48.988455000
27,0.6421344558364599,3.818921655244053,3447.309632433477,113,10.0,30,20,293,0.66,0.7348,0 days 00:15:43.695631000
28,1.0,3.3427165891361637,,113,7.0,30,20,244,1.29,1.4362,0 days 00:45:07.505349000
29,0.5269934432635214,7.417138103644131,3714.5472624261797,113,7.0,30,20,244,1.29,1.4362,0 days 00:11:51.397704000
30,1.0,2.2553762593505193,17261.161962693517,113,6.0,30,20,250,0.29,0.32286666666666664,0 days 00:49:50.121791000
31,0.4960165777367014,4.5734294761168375,3935.3626869066493,113,6.0,30,20,250,0.29,0.32286666666666664,0 days 00:13:06.114478000
32,1.0,6.0661193911163815,19174.54889565666,113,5.0,30,20,278,0.68,0.7570666666666667,0 days 00:59:01.028301000
33,0.4899030571766422,3.3515449361693945,3957.323375579742,113,5.0,30,20,278,0.68,0.7570666666666667,0 days 00:16:05.156702000
34,1.0,2.9779196973267426,,113,10.0,30,20,246,1.21,1.3471333333333333,0 days 00:44:53.542256000
35,0.6506059467838438,5.735351319239517,3464.6208293461627,113,10.0,30,20,246,1.21,1.3471333333333333,0 days 00:11:48.045709000
36,1.0,3.1355577788429025,9194.609867349965,113,9.0,30,20,252,1.44,1.6032,0 days 00:45:10.261283000
37,0.5934632472544643,6.882629551419308,3510.563849034541,113,9.0,30,20,252,1.44,1.6032,0 days 00:11:50.387314000
38,1.0,5.363589455402568,17138.440626713906,113,6.0,30,20,285,0.32,0.3562666666666667,0 days 01:03:19.017150000
39,0.4990182415025693,4.031770780229168,3931.7543971301343,113,6.0,30,20,285,0.32,0.3562666666666667,0 days 00:17:39.410297000
40,1.0,7.087088762763913,11621.572009240193,113,8.0,30,20,291,0.91,1.0131333333333332,0 days 00:58:24.053807000
41,0.5553217188227719,5.1791547628716135,3631.4408745948213,113,8.0,30,20,291,0.91,1.0131333333333332,0 days 00:16:09.820977000
42,1.0,2.6613056755470716,14013.513157742109,113,7.0,30,20,332,0.95,1.0576666666666668,0 days 00:58:51.579571000
43,0.5297752302851583,5.5145448272241335,3755.211733709532,113,7.0,30,20,332,0.95,1.0576666666666668,0 days 00:15:52.178946000
44,1.0,2.8623907521939236,18998.469184392365,113,5.0,30,20,326,1.37,1.5252666666666668,0 days 00:58:28.185692000
45,0.4914738101764885,4.2314976273552,3914.1555094505175,113,5.0,30,20,326,1.37,1.5252666666666668,0 days 00:15:46.856152000
46,1.0,3.515214664808342,14123.2845645634,113,7.0,30,20,327,0.77,0.8572666666666666,0 days 01:01:04.301752000
47,0.5267743398421353,4.184719409872374,3743.836212407495,113,7.0,30,20,327,0.77,0.8572666666666666,0 days 00:17:03.177549000
48,1.0,6.218378299897461,4018.295279862461,113,12.0,30,20,333,0.42,0.4676,0 days 01:03:03.185971000
49,0.7974579477286231,6.182663575627962,3253.762594353936,113,12.0,30,20,333,0.42,0.4676,0 days 00:17:43.991557000
50,1.0,6.153098705625625,13979.055509093016,113,7.0,30,20,290,1.23,1.3694,0 days 00:58:45.180254000
