delta,alpha,objective,time,car
96,7.219433998095304,1.0,14667.37467113923,0 days 00:13:34.067739000,183
97,7.174559977864691,0.053752702741316855,,0 days 00:03:10.477076000,183
98,3.4844043000382285,1.0,,0 days 00:14:15.538208000,23
99,3.0952540555560213,0.28440675105852264,1907.7180717647773,0 days 00:03:40.900653000,23
100,3.367538633346678,1.0,12225.80648826973,0 days 00:12:19.640534000,37
101,4.237093843492442,0.13107614883306626,,0 days 00:03:05.647322000,37
102,7.014640305568771,1.0,13330.464510757492,0 days 00:12:49.243288000,197
103,4.749003955064813,0.3211259265886972,2606.566503117965,0 days 00:03:01.281861000,197
104,2.507658675194268,1.0,13064.899071593081,0 days 00:11:54.370789000,168
105,3.142830840609696,0.2906504884687207,2879.819269691821,0 days 00:03:00.173232000,168
106,3.8279079302134638,1.0,15204.431844189254,0 days 00:12:32.641124000,140
107,4.045765641752985,0.2907993112145915,2053.2489264632154,0 days 00:03:04.615873000,140
108,4.870046232574889,1.0,,0 days 00:10:46.864161000,154
109,6.964412442775101,0.16812583727787994,,0 days 00:02:44.515991000,154
110,2.7971086901447624,1.0,8853.158704671969,0 days 00:14:12.534527000,93
111,5.197850231340013,0.2925280709014403,1826.0167643570096,0 days 00:03:40.219574000,93
112,4.761996560323399,1.0,27619.291344029545,0 days 00:13:16.593239000,133
113,2.322231628909444,0.17923001899563856,,0 days 00:03:22.380631000,133
114,4.055936674865158,1.0,12668.919011837432,0 days 00:12:20.171696000,127
115,4.930107379473341,0.10194616489866053,,0 days 00:03:09.863883000,127
116,4.763739655638588,1.0,17401.759932041747,0 days 00:12:21.426722000,87
117,7.076825028766674,0.3051705711425041,1976.4500657937208,0 days 00:02:58.968922000,87
118,2.9786418124346943,1.0,8987.88658798573,0 days 00:13:56.575663000,78
119,5.457329520200401,0.2790212050009569,3525.040389373137,0 days 00:03:15.057644000,78
120,3.881469538605103,1.0,13260.737322726622,0 days 00:11:59.399731000,50
121,6.3987374835162685,0.2960106719403227,1707.1042465202347,0 days 00:03:00.927155000,50
122,2.4109265444476295,1.0,22000.57966463501,0 days 00:12:06.539291000,44
123,3.367286181919805,0.29625541264559085,1536.3663665126614,0 days 00:03:02.882521000,44
124,7.586093079121055,1.0,24497.429728733234,0 days 00:12:05.905299000,45
125,4.646947875371793,0.29075911697858925,2123.3666468302627,0 days 00:03:03.194792000,45
126,7.998970159370841,1.0,60633.96176846914,0 days 00:11:06.111903000,51
127,4.07875631422114,0.286939120874426,1824.4199383170346,0 days 00:02:39.392120000,51
128,2.1248012306639223,1.0,13564.16432038626,0 days 00:13:51.341985000,79
129,7.098208788902747,0.2814059802443255,2184.1215364692835,0 days 00:03:13.445245000,79
130,7.1994116332997,1.0,13071.524556984321,0 days 00:12:13.293122000,126
131,5.484628592265984,0.3260632909341929,1605.9218898145941,0 days 00:03:07.776615000,126
132,4.0596026324951255,1.0,8437.880224221517,0 days 00:13:44.107346000,86
133,3.0903355274698834,0.2884228734713312,2593.028581060284,0 days 00:03:41.935514000,86
134,4.20424464373829,1.0,12787.052243312915,0 days 00:14:00.808569000,92
135,5.507454911691415,0.3320747208127646,2476.7767438788765,0 days 00:03:40.316905000,92
136,4.881630313612166,1.0,10445.390792469705,0 days 00:13:05.093374000,132
137,4.629480882837415,0.31426341502198324,2517.667977315289,0 days 00:03:19.904803000,132
138,4.969902286276558,1.0,5182.819950030116,0 days 00:11:03.405001000,8
139,7.693603234590335,0.2877730811595556,1864.5373411932212,0 days 00:02:37.871050000,8
140,2.919988318239189,1.0,14205.860454052412,0 days 00:12:11.059107000,118
141,4.636741417859216,0.053896937017092285,,0 days 00:03:08.599164000,118
142,6.665440031441428,1.0,22674.777316092866,0 days 00:13:45.217126000,84
143,4.965918237404995,0.2946568286450745,2241.9024340608607,0 days 00:03:41.060996000,84
144,3.720096787555201,1.0,10061.800412959743,0 days 00:12:28.573125000,124
145,7.8665818823480995,0.3377831000953295,1524.8374791986466,0 days 00:03:10.405158000,124
146,6.116408656243014,1.0,18424.25899426076,0 days 00:13:20.822299000,130
147,3.1127675191149824,0.31480095942087283,1661.4669010740452,0 days 00:03:23.390695000,130
148,2.794199261696628,1.0,11198.299220422088,0 days 00:13:59.949547000,90
149,5.95080482161441,0.3202741179211042,1409.0453834732434,0 days 00:03:40.263900000,90
150,7.231983105832143,1.0,15145.581363017956,0 days 00:11:55.878953000,47
