a,delta,beta,objective,alpha,time,car
48,1.7509293725802133,2.043988262237008,2.3277265030973235,1986.6179394187202,0.2702631578947369,0 days 00:06:06.460863000,64
49,1.0197775287662765,1.884061213515097,2.2536771790639865,1918.770472390689,0.3223157894736842,0 days 00:06:04.342623000,64
50,2.350213080447438,7.74631176912474,3.907196860578779,1878.260777337634,0.3743684210526316,0 days 00:06:05.193143000,64
51,1.9897973098012585,1.75129997073841,2.70361997775888,1861.2861999730856,0.426421052631579,0 days 00:06:04.786022000,64
52,1.46731667610111,5.332776383435163,0.8000923372176724,1862.6857112290927,0.4784736842105263,0 days 00:06:06.278259000,64
53,2.7231988282220625,6.049196743402707,3.980580149110875,1877.4897967897848,0.5305263157894737,0 days 00:06:05.785263000,64
54,2.3636350621753084,4.7595960534141755,1.8894051114953172,1901.803178715981,0.5825789473684211,0 days 00:06:05.870496000,64
55,1.3582455709855288,5.232281394781854,2.373671727780776,1932.9342756881647,0.6346315789473684,0 days 00:06:05.024443000,64
56,1.926766830908191,1.5971735399354363,1.3185479862154488,1969.1183517683507,0.6866842105263158,0 days 00:06:06.917499000,64
57,0.7440436782077126,3.610696587463975,0.6395373976519494,2009.1499139542796,0.7387368421052632,0 days 00:06:06.041737000,64
58,2.502311430077881,2.819872325965265,3.143498086527256,2052.067642869362,0.7907894736842106,0 days 00:06:06.611754000,64
59,2.6801990914257376,3.064650810711025,2.422948941447264,2096.9391563620693,0.842842105263158,0 days 00:06:06.253111000,64
60,1.6549115403973462,1.8461944690889944,2.221898035916356,2142.761082412502,0.8948947368421053,0 days 00:06:07.265483000,64
61,1.9252028911616923,3.9615972464959945,1.3673504441628246,2188.469206862386,0.9469473684210526,0 days 00:06:07.448137000,64
62,0.5047782697503966,7.928759827143831,1.0355333567592797,2233.0276528662675,0.9990000000000001,0 days 00:06:02.547993000,64
63,2.5357486371273352,1.2677811847786522,1.795467011814334,927.5796093354953,1.0,0 days 00:22:53.507741000,65
